,state,participation_2018,ebrw_2018,math_2018,total_2018,participation_2019,ebrw_2019,math_2019,total_2019,code,funding_2018,funding_2019,score_var,fund_var
0,Alabama,0.06,595,571,1166,0.07,583,560,1143,AL,9696.18,10076.59,-23,380.40999999999985
1,Alaska,0.43,562,544,1106,0.41,556,541,1097,AK,17725.94,18393.57,-9,667.630000000001
2,Arizona,0.29,577,572,1149,0.31,569,565,1134,AZ,8254.8,8625.47,-15,370.6700000000001
3,Arkansas,0.05,592,576,1168,0.06,582,559,1141,AR,10138.68,10387.82,-27,249.13999999999942
4,California,0.6,540,536,1076,0.63,534,531,1065,CA,12142.72,14034.94,-11,1892.2200000000012
5,Colorado,1.0,519,506,1025,1.0,518,506,1024,CO,10201.96,11029.67,-1,827.710000000001
6,Connecticut,1.0,535,519,1054,1.0,529,516,1045,CN,20634.92,21310.45,-9,675.5300000000025
7,Delaware,1.0,505,492,997,1.0,499,486,985,DE,15638.63,16314.69,-12,676.0600000000013
8,District of Columbia,0.92,497,480,977,0.94,495,480,975,DC,22758.86,22406.05,-2,-352.8100000000013
9,Florida,0.56,550,549,1099,1.0,516,483,999,FL,9346.04,9645.31,-100,299.2699999999986
10,Georgia,0.7,542,522,1064,0.71,538,519,1057,GA,10809.87,11227.55,-7,417.6799999999985
11,Hawaii,0.56,480,530,1010,0.54,550,550,1100,HI,15242.0,16131.68,90,889.6800000000003
12,Idaho,1.0,508,493,1001,1.0,505,488,993,ID,7770.6,7984.82,-8,214.21999999999935
13,Illinois,0.99,513,506,1019,1.0,509,504,1013,IL,15757.14,16226.82,-6,469.6800000000003
14,Indiana,0.63,542,532,1074,0.66,543,537,1080,IN,10262.21,10396.84,6,134.63000000000102
15,Iowa,0.03,634,631,1265,0.03,622,622,1244,IA,11732.34,11907.11,-21,174.77000000000044
16,Kansas,0.04,633,631,1264,0.04,618,623,1241,KS,11652.72,11925.78,-23,273.0600000000013
17,Kentucky,0.04,630,618,1248,0.04,620,612,1232,KY,11110.22,11291.14,-16,180.92000000000007
18,Louisiana,0.04,615,595,1210,0.05,610,591,1201,LA,11452.05,11754.76,-9,302.71000000000095
19,Maine,0.99,512,501,1013,0.99,512,502,1014,ME,14152.21,14613.79,1,461.58000000000175
20,Maryland,0.76,545,535,1080,0.82,535,523,1058,MD,14761.85,15148.37,-22,386.52000000000044
21,Massachusetts,0.8,562,563,1125,0.81,559,561,1120,MA,17058.45,17747.6,-5,689.1499999999978
22,Michigan,1.0,511,499,1010,1.0,507,496,1003,MI,12345.48,12755.91,-7,410.4300000000003
23,Minnesota,0.04,643,655,1298,0.04,636,648,1284,MN,12994.59,13387.2,-14,392.6100000000006
24,Mississippi,0.03,630,606,1236,0.03,628,608,1236,MS,8934.78,9284.46,0,349.6799999999985
25,Missouri,0.04,633,629,1262,0.04,622,615,1237,MO,10906.49,11200.38,-25,293.8899999999994
26,Montana,0.1,606,592,1198,0.09,603,596,1199,MT,11680.06,11987.52,1,307.46000000000095
27,Nebraska,0.03,629,623,1252,0.03,628,631,1259,NE,12815.75,12743.42,7,-72.32999999999993
28,Nevada,0.23,574,566,1140,0.2,580,576,1156,NV,9294.57,9343.93,16,49.36000000000058
29,New Hampshire,0.96,535,528,1063,0.95,533,526,1059,NH,16892.84,17462.41,-4,569.5699999999997
30,New Jersey,0.82,547,547,1094,0.82,544,545,1089,NJ,19526.25,20512.01,-5,985.7599999999984
31,New Mexico,0.16,552,540,1092,0.18,543,530,1073,NM,9582.12,10176.59,-19,594.4699999999993
32,New York,0.79,534,534,1068,0.79,531,533,1064,NY,24048.21,25139.2,-4,1090.9900000000016
33,North Carolina,0.52,554,543,1097,0.51,554,546,1100,NC,9376.63,9856.82,3,480.1900000000005
34,North Dakota,0.02,640,643,1283,0.02,627,636,1263,ND,13757.58,14004.34,-20,246.76000000000022
35,Oklahoma,0.08,541,521,1062,0.22,490,472,962,OK,8238.62,9322.57,-100,1083.949999999999
36,Ohio,0.18,552,547,1099,0.19,550,548,1098,OH,13026.91,13538.36,-1,511.4500000000007
37,Oregon,0.48,564,553,1117,0.51,562,550,1112,OR,11919.75,12449.7,-5,529.9500000000007
38,Pennsylvania,0.7,547,539,1086,0.7,545,537,1082,PA,16395.06,16864.41,-4,469.34999999999854
39,Rhode Island,0.97,513,505,1018,1.0,503,492,995,RI,16142.25,16750.39,-23,608.1399999999994
40,South Carolina,0.55,547,523,1070,0.68,526,504,1030,SC,10856.15,11139.97,-40,283.8199999999997
41,South Dakota,0.03,622,618,1240,0.03,633,635,1268,SD,10073.41,10138.82,28,65.40999999999985
42,Tennessee,0.06,624,607,1231,0.07,618,602,1220,TN,9543.62,9868.17,-11,324.5499999999993
43,Texas,0.66,520,512,1032,0.68,515,507,1022,TX,9606.01,9827.06,-10,221.04999999999927
44,Utah,0.04,480,530,1010,0.04,614,615,1229,UT,7627.66,8014.31,219,386.65000000000055
45,Vermont,0.64,565,554,1119,0.66,560,546,1106,VT,19341.05,20315.14,-13,974.0900000000001
46,Virginia,0.68,567,550,1117,0.68,567,551,1118,VA,12215.74,12640.6,1,424.8600000000006
47,Washington,0.69,543,538,1081,0.7,539,535,1074,WA,12995.02,14223.19,-7,1228.17
48,West Virginia,0.28,513,486,999,0.99,483,460,943,WV,11334.15,12009.85,-56,675.7000000000007
49,Wisconsin,0.03,641,653,1294,0.03,635,648,1283,WI,12285.1,12597.52,-11,312.4200000000001
50,Wyoming,0.03,633,625,1258,0.03,623,615,1238,WY,16223.62,16304.13,-20,80.5099999999984
